time_min,desks_used,desks_queue,tables_used,tables_queue,couches_used,couches_queue,cumulative_balks,total_arrivals
174,55,0,33,0,7,4,41,280
175,55,0,33,0,7,3,41,281
176,55,0,33,0,7,3,41,282
177,53,0,34,1,7,1,41,282
178,53,0,33,0,7,1,41,282
179,53,0,33,0,7,1,41,284
180,52,0,33,0,7,2,41,285
181,52,0,32,0,7,1,41,285
182,53,0,32,0,7,0,41,286
183,52,0,31,0,7,1,41,287
184,52,0,30,0,7,1,41,288
185,54,0,28,0,7,2,41,291
186,54,0,28,0,7,4,41,293
187,55,0,28,0,7,5,41,295
188,55,0,29,0,7,5,41,296
189,55,0,27,0,7,5,41,297
190,54,0,29,0,7,3,41,297
191,54,0,30,0,7,2,41,299
192,55,0,28,0,7,2,41,300
193,55,0,28,0,7,1,41,300
194,55,0,27,0,7,1,41,301
195,55,0,26,0,7,2,41,302
196,55,0,26,0,7,3,41,305
197,55,0,26,0,7,3,41,305
198,56,0,26,0,7,4,41,307
199,56,2,26,0,7,3,41,311
200,56,2,27,0,7,3,41,313
201,56,2,27,0,7,3,41,313
202,56,2,27,0,7,1,41,313
203,56,1,28,0,7,2,41,314
204,53,0,29,0,7,2,41,315
205,53,0,29,0,7,3,41,316
206,54,0,29,0,7,4,41,319
207,53,0,28,0,7,3,41,320
208,52,0,25,0,7,3,41,320
209,53,0,25,0,7,6,41,325
210,54,0,27,0,7,4,41,327
211,55,0,27,0,7,3,41,328
212,56,0,27,0,7,4,41,330
213,55,0,30,0,7,2,41,332
214,55,0,29,0,7,2,41,332
215,56,0,28,0,7,3,41,334
216,56,2,29,0,7,1,41,336
217,56,3,29,0,7,2,41,338
218,56,3,29,0,7,2,41,338
219,56,2,29,0,7,0,41,338
220,55,0,30,0,7,3,41,341
221,54,0,29,0,7,3,41,341
222,54,0,29,0,7,3,41,341
223,55,0,28,0,7,2,41,342
224,55,0,30,0,7,1,41,343
225,55,0,29,0,7,3,41,345
226,55,0,29,0,7,5,41,347
227,55,0,28,0,7,6,41,349
228,56,0,27,0,7,7,41,351
229,56,0,28,0,7,8,41,354
230,56,0,29,0,7,7,41,355
231,56,0,30,0,7,5,41,355
232,56,0,28,0,7,4,41,355
233,56,0,31,0,7,1,41,355
234,55,0,31,0,6,0,41,355
235,55,0,29,0,6,0,41,355
236,55,0,28,0,7,0,41,356
237,56,0,28,0,7,1,41,359
238,55,0,28,0,7,1,41,360
239,55,0,28,0,7,1,41,360
240,56,0,26,0,7,1,41,361
241,56,1,25,0,7,1,41,362
242,56,1,25,0,6,0,41,363
243,54,0,25,0,6,0,41,364
244,54,0,25,0,7,1,41,366
245,54,0,23,0,7,3,41,368
246,54,0,22,0,7,5,41,370
247,56,0,22,0,7,6,41,373
248,56,1,23,0,7,5,41,374
249,56,2,22,0,7,5,41,377
250,56,2,24,0,7,3,41,378
251,56,3,22,0,7,6,41,382
252,56,1,22,0,7,7,41,383
253,56,1,23,0,7,7,41,385
254,56,0,24,0,7,7,41,386
255,56,2,25,0,7,4,41,388
256,56,4,25,0,7,4,41,391
257,56,5,27,0,7,3,41,393
258,56,8,28,0,7,3,41,397
259,56,9,30,0,7,2,41,400
260,56,7,31,0,7,5,41,404
261,56,7,30,0,7,6,41,406
262,56,3,34,0,7,6,41,408
263,56,3,34,2,7,7,41,411
264,56,1,34,5,7,9,41,416
265,56,3,34,7,7,8,41,419
266,56,4,34,7,7,9,43,423
267,56,4,34,5,7,11,46,426
268,56,4,34,8,7,8,48,428
269,56,3,34,9,7,9,50,431
270,56,1,34,11,7,6,51,432
271,56,1,34,10,7,4,55,433
272,56,2,34,5,7,9,58,440
273,56,2,34,5,7,12,59,445
274,56,0,34,3,7,15,61,448
275,56,2,34,4,7,16,61,453
276,56,2,34,5,7,13,63,456
277,56,2,34,10,7,13,63,462
278,56,3,34,11,7,13,63,466
279,56,4,34,9,7,13,67,471
280,56,5,34,7,7,13,71,477
281,56,7,34,9,7,10,73,481
282,56,7,34,7,7,11,75,484
283,56,6,34,11,7,12,75,489
284,56,5,34,12,7,10,79,492
285,56,5,34,14,7,13,80,499
286,56,7,34,13,7,14,84,505
287,56,7,34,11,7,11,90,507
288,56,8,34,11,7,15,93,516
289,56,11,34,14,7,11,96,523
290,56,11,34,13,7,10,101,528
291,56,11,34,9,7,11,104,530
292,56,9,34,10,7,8,109,535
293,56,6,34,13,7,10,111,539
294,56,5,34,18,7,11,111,544
295,56,5,34,10,7,10,119,545
296,56,4,34,12,7,10,122,549
297,56,3,34,10,7,10,127,553
298,56,5,34,13,7,8,128,557
299,56,6,34,7,7,9,133,560
300,56,6,34,9,7,10,135,566
301,56,9,34,8,7,10,139,572
302,56,7,34,11,7,9,140,573
303,56,6,34,9,7,10,144,576
304,56,5,34,12,7,6,146,578
305,56,3,34,14,7,7,149,582
306,56,4,34,12,7,10,152,587
307,56,6,34,7,7,8,158,591
308,56,6,34,5,7,6,161,593
309,56,11,34,5,7,6,162,599
310,56,10,34,4,7,7,165,604
311,56,9,34,8,7,10,165,610
312,56,7,34,9,7,12,165,613
313,56,3,34,10,7,14,168,617
314,56,3,34,9,7,14,171,622
315,56,3,34,13,7,12,171,626
316,56,4,34,12,7,11,175,629
317,56,5,34,11,7,13,179,635
318,56,6,34,11,7,11,184,639
319,56,5,34,12,7,9,187,641
320,56,8,34,10,7,8,190,645
321,56,7,34,11,7,10,194,652
322,56,4,34,12,7,9,197,653
323,56,5,34,11,7,9,199,656
324,56,2,34,7,7,11,205,659
325,56,3,34,10,7,10,208,666
326,56,2,34,8,7,11,209,669
327,56,4,34,8,7,11,210,673
328,56,6,34,5,7,14,215,681
329,56,6,34,9,7,12,216,684
330,56,4,34,10,7,14,218,689
331,56,6,34,10,7,18,220,697
332,56,4,34,12,7,14,225,699
333,56,3,34,12,7,12,227,701
334,56,4,34,14,7,11,228,704
335,56,3,34,12,7,7,236,708
336,56,2,34,11,7,7,237,711
337,56,1,34,10,7,7,239,712
338,56,1,34,4,7,12,247,720
339,56,3,34,5,7,13,248,727
340,56,3,34,6,7,12,248,728
341,56,4,34,4,7,12,250,730
342,56,4,34,8,7,5,253,730
343,56,1,34,13,7,0,254,730
344,56,2,34,13,7,2,254,734
345,56,3,34,7,7,3,261,737
346,56,1,34,0,7,6,267,741
347,56,1,34,0,7,10,267,746
348,55,0,34,2,7,8,267,747
349,56,0,34,2,7,8,267,748
350,56,1,34,4,7,6,267,750
351,56,3,34,7,7,5,268,755
352,56,4,34,8,7,6,268,758
353,56,4,34,4,7,7,271,759
354,56,5,34,3,7,6,274,762
355,56,4,34,5,7,4,275,764
356,56,5,34,6,7,6,275,770
357,56,6,34,6,7,7,275,772
358,56,5,34,5,7,6,279,774
359,56,4,34,5,7,7,281,776
360,56,3,34,9,7,6,281,779
361,56,3,34,9,7,7,283,782
362,56,4,34,9,7,6,285,785
363,56,5,34,5,7,10,290,791
364,56,6,34,5,7,7,292,792
365,56,6,34,7,7,6,293,794
366,56,5,34,7,7,5,294,795
367,56,1,34,12,7,3,295,797
368,56,2,34,9,7,5,298,800
369,56,1,34,6,7,5,301,801
370,56,2,34,0,7,5,306,803
371,56,3,34,1,7,6,306,806
372,56,3,34,3,7,6,306,809
373,56,3,34,2,7,7,306,811
374,56,3,34,4,7,6,306,813
375,56,3,34,4,7,5,307,814
376,56,2,34,7,7,3,307,814
377,56,1,34,6,7,1,309,815
378,56,0,34,5,7,1,310,816
379,56,0,34,2,7,4,313,820
380,56,0,33,0,7,3,315,821
381,56,0,32,0,7,3,315,821
382,56,0,31,0,7,4,315,822
383,56,0,33,0,7,3,315,824
384,56,0,33,0,7,3,315,824
385,56,0,33,0,7,4,315,826
386,54,0,33,0,7,3,315,826
387,53,0,33,0,7,3,315,828
388,52,0,33,0,7,3,315,828
389,51,0,33,0,7,3,315,830
390,50,0,33,0,7,4,315,831
391,51,0,34,0,7,4,315,833
392,49,0,33,0,7,4,315,834
393,48,0,34,0,7,3,315,834
394,50,0,34,0,7,2,315,837
395,50,0,34,0,7,2,315,837
396,49,0,34,1,7,1,315,837
397,49,0,33,0,7,2,315,838
398,50,0,34,0,7,3,315,841
399,49,0,33,0,7,7,315,845
400,49,0,32,0,7,8,315,846
401,48,0,33,0,7,7,315,846
402,49,0,34,1,7,7,315,849
403,49,0,34,5,7,3,315,849
404,49,0,34,6,7,1,315,849
405,50,0,34,5,7,1,316,850
406,50,0,34,1,7,0,320,850
407,48,0,34,0,7,1,320,851
408,48,0,34,0,7,2,320,852
409,48,0,34,0,7,1,320,853
410,47,0,32,0,7,2,320,854
411,47,0,31,0,7,2,320,854
412,48,0,31,0,7,2,320,855
413,47,0,32,0,7,2,320,856
414,48,0,32,0,7,3,320,859
415,45,0,30,0,7,3,320,860
416,45,0,30,0,7,2,320,860
417,46,0,29,0,7,2,320,861
418,46,0,31,0,7,1,320,862
419,45,0,29,0,7,3,320,864
420,42,0,28,0,7,4,320,865
421,41,0,27,0,7,3,320,865
422,41,0,25,0,7,4,320,866
423,41,0,27,0,7,2,320,866
424,41,0,27,0,7,1,320,867
425,41,0,25,0,7,4,320,870
